0:1:45|0:1:50|The [Hei Yu] tribe lives in the city of Tian Du.
1:38:41|1:38:46|Hei Yu placed his fingers in front of Ni Kongkong's nostrils and found that Ni Kongkong had no breath.
1:39:8|1:39:12|When [Hei Yu] was crying heartbreakingly, [Ni Kongkong] suddenly spoke up.
1:39:32|1:39:38|[Hei Yu] lightly punched [Ni Kongkong]'s chest, and [Ni Kongkong] grabbed his hand in response.
1:39:38|1:39:43|This time, [Hei Yu] did not refuse, but instead hooked fingers with [Ni Kongkong].
1:39:43|1:39:47|At this moment, [Ni Kongkong] became the indispensable person in [Hei Yu]'s heart.
1:39:47|1:39:48|Several days later, inside the palace.
1:39:57|1:40:14|The Emperor picked up the crown belonging to the Crown Prince from the tray and personally placed it on He Li's head. The shining gel beads were also sealed by [Yang Zhenhu] in the most secure chamber of the Zhenhu Bureau.
1:40:15|1:40:21|The Heavenly Capital has regained its former prosperity, and [Ni Kongkong] and the others found Lao Yuan with Ou Ka.
1:40:21|1:40:23|Lao Yuan took out the life-saving medicine and said.
1:40:26|1:40:36|She has been able to survive until now because [Xue Lie] released the Jiaozhu energy when she happened to be nearby.
1:41:26|1:41:33|Just as the few people were chatting and laughing, Okka's fingers moved lightly, and his palm glowed like [Ni Kongkong].
1:41:33|1:41:42|He finally showed signs of life, after experiencing a lot of black rain in the afternoon. Sitting on the edge of the cliff, he looked down at the rebuilt Tian Du City, contemplating life.
1:41:42|1:41:49|At this moment, [Ni Kongkong] walked up from behind and sat down next to [Hei Yu] gently. After exchanging a shy glance, the two of them.
1:41:49|1:41:51|[Ni Kongkong] took the initiative to ask.
1:42:26|1:42:35|[Ni Kongkong] hadn't finished speaking when [Hei Yu] grabbed his hand and jumped off the cliff, then spread his wings and flew, holding [Ni Kongkong] tightly in his arms.
1:42:35|1:42:41|[Ni Kongkong] also tightly held onto [Hei Yu] and didn't dare to let go. The two of them shuttled between the valleys for a while, and then flew into the clouds.
1:42:44|1:42:50|[Ni Kongkong] gradually stopped being afraid, looking at [Hei Yu] gently and happily.
1:42:50|1:43:5|At this moment, [Hei Yu] seemed to have noticed his gaze. The two of them looked deeply into each other's eyes, and suddenly, [Hei Yu] flew vertically upwards, carrying [Ni Kongkong] through the clouds and stopping in mid-air. Finally, the two of them settled deeply together.
1:43:5|1:43:12|[Ni Kongkong] touched [Hei Yu] with her sincerity and bravery, and the two of them lived together in harmony for the rest of their lives.
1:43:13|1:43:24|With Ni Kongkong having found a beautiful love, the fantasy journey is also coming to an end.
