0:3:38|0:3:47|Fireworks and cannons were booming on the bustling street, while inside this hotel,
1:35:5|1:35:10|He took the cigarette from his mouth, leaned close to [Gu Xiaomeng]'s face, and smiled as he spoke.
1:35:14|1:35:20|[Wu Tian] also realized [Gu Xiaomeng]'s intention of provocation.
1:35:20|1:35:31|[Gu Xiaomeng] attracted [Wu Tian]'s attention while quietly unlocking the handcuffs. [Wu Tian] became angry and laughed sarcastically.
1:35:31|1:35:41|He grabbed [Gu Xiaomeng] by the neck.
1:35:42|1:35:55|[Gu Xiaomeng] wrapped her hands around [Wu Tian]'s neck and bit his ear. As [Wang Tianxiang] rushed in, he had already pulled the trigger.
1:35:55|1:36:6|Gu Xiaomeng, who was shot three times, slid down from Wu Tian and fell on the cold floor. Wang Tianxiang and the commander looked at Gu Xiaomeng in the pool of blood.
1:36:14|1:36:20|At this moment, everyone present felt the determination of the Communist Party members.
1:36:20|1:36:26|[Wu Tian] let out a roar of incompetence, and [Gu Xiaomeng] closed her eyes as well.
1:36:27|1:36:37|A Communist Party member with a strong belief, in the face of confidential information and life, she resolutely chose to sacrifice the latter, to protect her team members, and to preserve the strength of the organization.
1:36:37|1:36:41|The devilish interrogation meeting in Qiu Zhuang comes to an end.
1:36:41|1:36:49|In the interrogation room, [Wu Tian] sat in the interrogation chair smoking a cigarette. The commander, wearing a military coat and leaning on a cane, walked slowly towards him.
1:36:49|1:36:58|Approaching [Wu Tian] before speaking.
1:36:59|1:37:7|The gloomy [Wu Tian] lowered his head and took a drag of his cigarette before speaking slowly.
1:37:7|1:37:16|He looked at the commander with a determined look.
1:37:17|1:37:27|Wang Tianxiang on the side listened thoughtfully. The commander spoke.
1:37:38|1:37:47|Wang Tianxiang on the side felt nervous when he heard this. He tentatively said.
1:37:48|1:37:54|[Wang Tianxiang] suspects that he might be the scapegoat.
1:38:0|1:38:6|Under the brim of the hat, the commander's fierce eyes stared at [Wang Tianxiang] as he walked out. Suddenly, the commander pulled out a gun.
1:38:6|1:38:16|[Wang Tianxiang] saw from the reflection in the mirror that he narrowly escaped danger. He then picked up a steel pipe and rushed forward to pin the commander against the wall.
1:38:26|1:38:36|[Wang Tianxiang] was shot dead, and the body slowly slid down against the commander. The one who fired the gun was [Wu Tian].
1:38:36|1:38:44|The commander leaning against the wall was still in shock, slowly walking out with the support of the wall corner. [Wu Tian] slowly lowered his raised gun arm.
1:38:44|1:38:46|The commander looked down at [Wang Tianxiang] on the ground.
1:38:57|1:39:6|On a snowy night, cars turned at the intersection and lined up in front of the [Baicaotang]. The snow was heavy and urgent.
1:39:7|1:39:15|The eaves and roof of the house are covered with white snow. A group of senior Japanese military officers walk towards the [Baicaotang] in a firm stride.
1:39:15|1:39:24|Inside the Bai Cao Tang, the Japanese soldiers stood in neat formation, their shiny steel guns ready for the Communist Party members. Outside Bai Cao Tang, on the car,
1:39:24|1:39:31|The commander sat in the back row staring at the door, while [Wu Tian] sat in the front row. Snowflakes fell outside the window.
1:39:31|1:39:41|Tonight is their last chance. The next morning, the car was covered with thick snow, and a vendor was pushing a cart through the deep snow.
1:39:46|1:39:53|Pedestrians began to appear on the street. The commander, who was sleeping in the car with his hat askew, suddenly opened his eyes.
1:39:53|1:39:58|He looked out of the windows on both sides, when the camel merchant passed by.
1:39:58|1:40:5|The commander turned to look at [Wu Tian] in the front seat, knowing that their only chance to salvage the plan had failed.
1:40:5|1:40:10|At this moment, the song from the street broadcast, and [Wu Tian] had already fallen asleep.
1:40:10|1:40:18|Time flies, it's already three months later. The road on the rain-soaked dock is muddy, and the reinforcements of the Japanese army march in line, carrying their rifles.
1:40:18|1:40:25|The thunder roared in the sky as the officer commanded the troops to advance.
1:40:25|1:40:37|A military truck drives through a muddy dock. It stops at a small warehouse and opens the railing.
1:40:38|1:40:41|Among the senior military officers getting off the car was also [Wu Tian].
1:40:42|1:40:53|The Japanese reinforcements on the side left, making room for the senior officers. The officers being sent back to Japan crowded forward to sign, while [Wu Tian], with iron chains around his wrists, moved around to the other side of the eaves.
1:40:53|1:40:59|He reached into his pocket and took out a pack of cigarettes, then went to sit under the eaves on a wooden box. In the crowd,
1:40:59|1:41:6|A figure with a military backpack on his back and wearing a raincoat walks in. His steps are very firm.
1:41:7|1:41:15|Passing by Wu Tian, he glanced at him intentionally, took a puff of his cigarette, and sat down next to Wu Tian. Wu Tian didn't mind at all.
1:41:15|1:41:20|Taking the cigarette he lit and lighting one for herself. After finishing, she returned the cigarette to the other person.
1:41:21|1:41:30|The two sat under the eaves, sheltering from the rain. [Wu Tian] enjoyed taking a few puffs of his cigarette and also opened up the conversation.
1:41:38|1:41:44|And the man just smoked by himself, never answering [Wu Tian].
1:41:45|1:41:48|Wu Tian continued to smoke, indifferent.
1:41:50|1:41:57|He exhaled smoke, glanced at the soldiers beside him, and sneered.
1:41:57|1:42:5|Wu Tian looked complexly at the rain and took a deep breath.
1:42:12|1:42:24|Speaking of this, Wu Tian couldn't help but smile. He lowered his head and took a puff of his cigarette, and the soldier next to him finished smoking as well. The sound of the steamboat's whistle could be heard.
1:42:24|1:42:32|The soldier patted [Wu Tian] on the shoulder. [Wu Tian] had just looked up when he was pressed down, and a small knife quickly slashed across his trachea.
1:42:33|1:42:40|[Wu Tian] looked up with wide eyes. This soldier was none other than the miraculously survived [Wu Zhiguo].
1:42:40|1:42:46|[Wu Zhiguo] covered the wound on his neck with his collar and walked into the rain wearing a hood.
1:42:46|1:42:55|Wu Tian's body uncontrollably knelt down slowly, then blood sprayed from his neck, and he fell backwards onto the muddy ground. On the rainy dock,
1:42:55|1:43:0|The ship that can take him home is parked not far away.
1:43:0|1:43:7|Shortly after, the Japanese army announced their surrender. The wide streets were filled with crowds of people celebrating this historic moment.
1:43:7|1:43:23|On the street, a Japanese military officer rides by in a car, and the people cheer and dance happily, twisting Yangko and performing lion dances to express their joy in their own way. In the new era toilet paper factory, banners with the words "Work hard to produce" and "Comfort the national army" are hung up.
1:43:23|1:43:34|The workshop director led [Wu Zhiguo], dressed in a sharp suit, to a production line. They arrived at the line and the director leaned in and shouted inside.
1:43:34|1:43:44|Director approached, [Li Ningyu] turned around and saw [Wu Zhiguo] stunned on the spot.
1:43:44|1:43:51|On the street, [Li Ningyu] and [Wu Zhiguo] walked, with [Li Ningyu] looking pale and despondent.
1:43:58|1:44:7|The two sat facing each other in a coffee shop, [Wu Zhiguo] picked up the cup and took a sip of coffee.
1:44:24|1:44:32|[Li Ningyu] also picked up the cup and took a sip, while [Wu Zhiguo] took out a cigarette and lit it for himself.
1:44:33|1:44:38|[Li Ningyu] felt somewhat inexplicable.
1:44:39|1:44:47|Li Ningyu still doesn't understand what's so attractive about women's cheongsams.
1:45:1|1:45:8|[Wu Zhiguo] took a puff of his cigarette. While [Li Ningyu] across from him furrowed her brows, trying hard to recall what happened that night.
1:45:18|1:45:22|After Wu Zhiguo's explanation, Li Ningyu looked thoughtfully at the coffee cup.
1:45:22|1:45:25|Qiu Zhuang's brief and painful days made her have to remember for eternity.
1:45:25|1:45:29|[Li Ningyu] supported her forehead and reminisced.
1:45:29|1:45:37|That night, [Wu Zhiguo] burst into [Gu Xiaomeng]'s room. [Wu Zhiguo] frowned and stared at [Gu Xiaomeng], then smiled slightly.
1:45:42|1:45:44|He reached out to touch the bugs around him.
1:45:44|1:45:48|At that time, [Wang Tianxiang] had just intercepted the signal in [Gu Xiaomeng]'s room.
1:45:49|1:45:56|[Gu Xiaomeng] pretended not to appreciate it, [Wu Zhiguo] pointed at his ear and pushed [Gu Xiaomeng] down.
1:45:58|1:46:5|[Wu Zhiguo] taped the bug under the table.
1:46:43|1:46:50|Outside came the sound of footsteps, indicating that time was running out for them. [Wu Zhiguo] tore open [Gu Xiaomeng]'s collar.
1:46:50|1:46:53|[Gu Xiaomeng] found that this comrade was more thoughtful in handling matters than she was.
1:46:53|1:47:2|[Wu Zhiguo] walked while messing up his own clothes. [Gu Xiaomeng] understood the meaning behind it, and went to the mirror to mess up her hair, pretending to be bullied by [Wu Zhiguo].
1:47:24|1:47:32|After [Li Ningyu] was taken away for questioning, the room was left with only [Gu Xiaomeng], [Wu Zhiguo], and two corpses. [Wu Zhiguo] walked quietly to [Gu Xiaomeng]'s side.
1:47:32|1:47:41|Grabbing [Gu Xiaomeng]'s hand, he wrote in her palm: "If no message comes out tonight, the organization will be destroyed, I will take the blame."
1:47:41|1:47:47|Finally, [Wu Zhiguo] reached into his pocket and pulled out a cigarette, the very one that had caught the eye of [Wang Tianxiang] behind him, the Three Cannon Tower.
1:47:47|1:47:56|He placed the cigarette in [Gu Xiaomeng]'s palm and helped her grip it. With red eyes, [Gu Xiaomeng] shook her head gently, tears swirling in her eyes.
1:47:56|1:48:5|Later, [Gu Xiaomeng] wrote on [Wu Zhiguo]'s hand: "You must stay alive and find a way to get the message out." [Wu Zhiguo] shook his head and wrote:
1:48:5|1:48:13|I am Lao Qiang, I order you to report me. [Gu Xiaomeng] pursed her lips, tears in her eyes, looking at this comrade who was both familiar and unfamiliar.
1:48:13|1:48:21|The two held each other's hands tightly, looking at each other with determined eyes. This was the organization's last hope, to either succeed or die trying.
1:48:22|1:48:32|[Gu Xiaomeng] looked at [Wu Zhiguo], pondered for a moment, and wrote in his palm: "You have to hold on, I have a way." [Wu Zhiguo] frowned into a Sichuan character.
1:48:32|1:48:36|[Gu Xiaomeng] adjusted her emotions, preventing tears from falling, and then calmly said.
1:48:36|1:48:40|[Wu Zhiguo] had to act with her.
1:48:54|1:49:0|In the café, [Wu Zhiguo] smoked a cigarette and poured out his inner thoughts at that time.
1:49:6|1:49:15|[Wu Zhiguo] took another drag on his cigarette as he recalled. At that time, the doctor moved him onto the operating table.
1:49:15|1:49:19|The length of the singing style hints at Morse code.
1:49:19|1:49:26|In the operating room, a nurse listened while tapping her fingers lightly, translating: "The intelligence is false, do not take action."
1:49:27|1:49:35|Understanding the meaning, the nurse quickly walked out of the operating room. And so, [Wu Zhiguo] sent out the intelligence in a life-threatening manner.
1:49:38|1:49:45|In the coffee shop, [Li Ningyu] asked again in confusion.
1:49:49|1:49:52|[Wu Zhiguo] pondered for a moment and remained silent.
1:49:52|1:49:56|He took a deep drag on his cigarette and began to recount [Gu Xiaomeng]'s plan at that time.
1:49:56|1:50:5|In the living room of Qiu Zhuang, [Gu Xiaomeng] is holding clothes and a needle, lost in thought.
1:50:11|1:50:20|The Chinese characters that appeared earlier in the network pattern turned out to be left by [Gu Xiaomeng]. The scene then shifts to the moment when [Gu Xiaomeng] is shot.
1:50:20|1:50:28|Through her coat, the blood-stained fabric inside revealed the Chinese characters: "The intelligence is false, do not take action, Old Ghost."
1:50:28|1:50:36|The scene cuts to [Gu Xiaomeng] covered in a white cloth being carried out of the house.
1:50:42|1:50:47|Back in the coffee shop, [Li Ningyu] was digesting the secrets within.
1:50:47|1:50:50|Before long, [Wu Zhiguo] arrived at her house with [Li Ningyu].
1:50:51|1:50:59|This is an old adobe house, far from the luxurious life of [Li Ningyu] back then. Now a worker, [Li Ningyu] takes out the key and unlocks the door.
1:50:59|1:51:6|In the room, [Li Ningyu] stepped on a chair to open the trunk on the wardrobe, searching for a while, and quickly found the cheongsam she wore at that time.
1:51:6|1:51:16|[Li Ningyu] handed the cheongsam to [Wu Zhiguo].
1:51:17|1:51:27|[Wu Zhiguo] found the seam of the cheongsam and held [Li Ningyu]'s hand on each button. [Li Ningyu] gently rubbed it, and immediately put the cheongsam into her arms.
1:51:27|1:51:35|She leaned in for a closer look, the intermittent and sparse stitches seemed to follow a certain pattern. [Li Ningyu] walked and looked, then slowly sat down.
1:51:35|1:51:42|The letter was made up of stitches of varying lengths. Beside it, [Wu Zhiguo] added.
1:51:46|1:51:52|[Li Ningyu] was already completely absorbed. The threads of the seam seemed to turn into words in the air like magic. "Whether the information is leaked or not, success or failure will be known in the coming days."
1:51:52|1:52:1|[Li Ningyu] understood every word left by this sister. The more she read, the more anxious she became, the more she wanted to know.
1:52:1|1:52:4|What does this sister, who always calls herself Yu Jie, have in mind?
1:52:4|1:52:8|The special letter reads: "I am not afraid of death."
1:52:8|1:52:14|What I fear is that those who love me will not know why I died. I am in purgatory, leaving behind this record.
1:52:14|1:52:22|I just hope my family and Sister Yu can forgive me for my decision at this moment. [Wu Zhiguo] looked at [Li Ningyu] with a heavy heart.
1:52:22|1:52:29|While [Li Ningyu] was flipping her cheongsam, tears were streaming down her face. She finally put down the cheongsam and gently clenched her fists.
1:52:29|1:52:37|After a long time without smoking, she tremblingly took out a cigarette and put it in her mouth, and [Wu Zhiguo] timely lit it for her.
1:52:37|1:52:45|Her lips trembled involuntarily. She held the cigarette in her hand and smoked it eagerly, like a drug addict who had finally found relief after a long drought.
1:52:45|1:52:51|And the addiction in his heart is the deep longing for his best friend and his sister.
1:52:51|1:52:56|Tears and snot flowed freely, but she was now both embarrassed and relieved.
1:52:56|1:53:3|This letter, this monologue now laid bare in front of oneself, is the heartfelt communication between the two sisters.
1:53:4|1:53:8|True sadness is when you can't cry out loud, only tears are streaming down.
1:53:8|1:53:15|Back in the car, [Wu Zhiguo] looked solemn, his brows furrowed into a character for "river". This man, a senior officer and seasoned veteran,
1:53:15|1:53:24|At the most critical moment, it was the strong and brave female comrade [Gu Xiaomeng], the leader of the organization, who stood up and protected him, protecting the organization with her life.
1:53:24|1:53:33|The once tortured Wu Zhiguo, who never revealed a word, shed tears at this moment.
