0:0:46|0:0:50|That day, Prince Bei was rushing to the Divine Mechanism Camp in great haste.
1:31:39|1:31:51|[Yang Luchan] did not evade this move, spinning several times in the air. But as soon as he landed, he was caught off guard by the experienced [Li Qiankun], who delivered a hammer strike to his ear. [Li Qiankun] thought this strike would surely hit, but to his surprise, [Yang Luchan] suddenly moved like water.
1:31:51|1:31:59|Like a carp, agile and flexible, easily dodging attacks with a soft waist. In the moment of surprise for [Li Qiankun], [Yang Luchan] strikes towards his abdomen.
1:31:59|1:32:5|Li Qiankun realized that he could no longer avoid it. Unexpectedly, Yang Luchan suddenly stopped and then used the momentum to spin in the air.
1:32:5|1:32:17|During the reversal, [Yang Luchan] got his hands covered with the flour imprint on his chest and struck [Li Qiankun] on the chest. The enlightened [Yang Luchan] then became unstoppable, countering every move with ease, neutralizing all of [Li Qiankun]'s attacks.
1:32:17|1:32:24|Instead, [Yang Luchan] began to hold back again. After [Yang Luchan] lightly pushed a palm, the two of them regained their strength. At this moment, the sound of bells rang under their feet.
1:33:50|1:33:59|The prince asked Yang Luchan after hearing this.
1:34:18|1:34:26|Having defeated [Li Qiankun] and gained the approval of [Prince Bei], the happy couple embraced each other excitedly.
1:34:53|1:35:6|Father and son walked up the mountain in tattered clothes to [Chen Family Valley], and the people who had received the news had already gathered at the mountaintop to welcome them. Seeing their father and elder brother safe and sound despite their disheveled appearance, the children couldn't hide their joy.
1:35:6|1:35:11|[Chen Changxing] saw his children and elders again, his eyes becoming moist.
1:35:11|1:35:19|The loving couple [Chen Zaiyang] embraced each other in tears. Just as the whole family was immersed in the atmosphere of reunion, the little girl shouted to everyone,
