0:0:50|0:0:57|接着，悬挂的照片相继旋转到正面，每张照片上的人都被遮盖住了双眼。
1:34:57|1:35:1|床边的椅子上坐着[阿弟]，她似乎是守了整整一夜。
1:35:1|1:35:9|看着何[细鬼]痛苦地蜷缩着身子，她不悦地起身来到电话旁，很不耐烦地拨通了[医生]的电话。
1:35:9|1:35:17|她急切地把听筒贴在耳边，用力平复着自己的喘息。
1:35:20|1:35:25|村口，[医生]的确来了，只是不只是他一个人。
1:35:26|1:35:30|[太平]从兜里掏出一叠现金递给[医生]。
1:35:30|1:35:37|浑然不觉的二人还在隔间里等待着救治，而[太平]等人已经悄然逼近。
1:35:37|1:35:43|这一行人约莫六七个，很快进了城中村，领头的[太平]看着门牌号大步走来。
1:35:44|1:35:49|年久的巷子更像是贫民窟，有些小道更是只能单人侧身通过。
1:35:49|1:35:55|但却丝毫不能阻止[太平]的脚步，比起一包沉甸甸的金条，这点困难不值一提。
1:35:56|1:35:59|很快，这间民房就被找到了。
1:35:59|1:36:6|外面刚有掏钥匙的动静，座椅上的[阿弟]便急不可耐地起身打开门。然而外面打开的是防盗门，
1:36:6|1:36:17|[阿弟]打开的是小木门，[阿弟]隔着门板朝外开枪，门外的胖子中枪倒地。
1:36:17|1:36:22|而带伤在身的何细魁这才翻过了窗户，却跌爬在了地上。
1:36:23|1:36:32|窗外是狭窄的缝隙，何细魁撑着墙壁艰难地前行，[阿弟]赶来想要扶着他，却因为过道太窄，只能在背后帮他撑着身子。
1:36:32|1:36:36|两人很快穿过了窄巷，来到纵横交错的小道上。
1:36:36|1:36:47|慌不择路的二人只能先顾着往前跑，[太平]等人则紧追不舍。然而拐过小巷时，[阿弟]不小心摔倒了，何细魁急忙将她搀扶起来。
1:36:47|1:36:53|短短几秒，[太平]已然杀到，他跳起身奋力挥刀，劈在何细魁的后背上。
1:36:53|1:37:5|[阿弟]急忙将何细魁扶起身，可眼前已经无路可走，就在这时，听到狗叫的老妇人开了门，何细魁没有多想，径直冲进了老妇屋里，[阿弟]急忙跟上。
1:38:10|1:38:14|何[细鬼]不再坐以待毙，他抄起走廊的椅子朝着匪徒走去。
1:38:14|1:38:23|快到跟前，他抬手一砸，匪徒们也挥舞着砍刀，试图重伤何[细鬼]。很快，势单力薄的何[细鬼]败下阵来，
1:38:23|1:38:34|他坐在地上，撑着身子，急急忙忙往后躲去，随手拽到了一旁的桌椅，拦住匪徒，[阿弟]看在眼里急在心中，她拼命摇着年久失修的铁门。
1:38:34|1:38:46|终于，门打开了，匪徒越过桌椅的障碍，朝着何[细鬼]杀去。情急之下，何[细鬼]随手摸起地上的木板砸过去，就在匪徒挥刀之际，[阿弟]冲来抄起尖锐的木板，
1:38:46|1:38:53|刺穿了其腹部。另一边走出屋门的[李沧东]发现了地上的血迹，于是，他顺着血迹跑来。
1:38:53|1:39:4|眼见怂包小弟一个个东倒西歪，[太平]拎着砍刀亲自上阵，两人穿过小门反手拉上门栓，何[细鬼]来到后门打算撞门，[阿弟]发现金条丢了。
1:39:6|1:39:11|心急的[阿弟]爬到地上，朝着门下的破洞伸手去够背包。
1:39:32|1:39:42|何[细鬼]将[阿弟]塞了进去，自己却被赶来的[马达]在背后狠狠地劈了一刀，何[细鬼]似是回光返照，反身一脚踹翻了[马达]。
1:39:43|1:39:50|在最后时刻，他仍然想着[阿弟]能够成功逃离。怒不可遏的[太平]冲过来想要拽出何[细鬼]，
1:39:50|1:40:1|但何[细鬼]死死地拽着木门为[阿弟]争取时间，[太平]挥刀而下，披在何[细鬼]的脑袋上，[阿弟]心如刀割，不再逃跑，冲着何[细鬼]跑来。
1:40:1|1:40:8|这时，[李沧东]也顺着惨叫声跑来，见门口刚起身的[马达]，他直接扑上前，将其拽倒。
1:40:8|1:40:12|何[细鬼]卡着门，身体已经不自觉地抽搐起来。
1:40:14|1:40:19|[李沧东]将[马达]摔在地上又砸下一把椅子，而[太平]进了门，朝着[阿弟]气势汹汹地走过去。
1:40:19|1:40:36|节节后退的[阿弟]摸到窗台上的一节玻璃，[太平]毫无预料，被暴怒的[阿弟]划破了脸颊，[阿弟]乘胜追击，朝着[太平]的肚子连捅几下。[太平]缓过神，挥刀砍碎了玻璃，刀也脱了手。
1:40:36|1:40:40|一门之隔的教室里，[李沧东]被[马达]偷袭，倒在了地上。
1:40:40|1:40:50|[马达]骑在[李沧东]身上，伸手挥舞着拳头，[李沧东]借机侧身将其甩下，翻身骑在[马达]的身上，双手死死掐住他的脖子。
1:40:50|1:41:0|[马达]表情痛苦，眼球突出，可手却从地上摸到了一块砖头，随后，他紧握砖头一挥，砸在了毫无防备的[李沧东]脑袋上。
1:41:0|1:41:8|自己趁机爬起喘了口气，躺在地上的[李沧东]手也没闲着，也找到了一块砖头砸在[马达]的头上。
1:41:8|1:41:15|[李沧东]艰难起身，甩开膀子又来一下。另一间屋子里，[阿弟]伸手去抠[太平]的眼珠，
1:41:15|1:41:23|[太平]吃痛，一把捏在[阿弟]被砍伤的手臂上，屋外的[马达]脑袋上不知挨了几下，已经失去了反应。
1:41:23|1:41:38|疲惫的[李沧东]缓慢又艰难地起身，他看到卡着门缝的线人早已不再动弹，于是急忙起身赶过去趴在他的耳边。可此时的何隙窥始终没能回复[李沧东]。
1:41:40|1:41:45|他满脸是血，只是瞪着眼睛盯着窗户，已经死了。
1:42:49|1:42:57|关键时刻，缓过神的[阿弟]拎着装有金条的挎包，狠狠砸向[太平]的头上，[太平]的口鼻冒着鲜血倒下了。
1:42:58|1:43:11|用光力气的[阿弟]靠在椅子上剧烈地喘息着，地上的黑色挎包露出金条的一角，[太平]躺在血泊中抽搐着。[李沧东]见状终于松了口气，躺下了。
1:43:11|1:43:20|[阿弟]注意到门口死去的何细魁瞪着双眼，正望着这边。她猫着身子爬过[太平]的尸体朝何细魁走去，
1:43:20|1:43:23|身受重伤的她，每一步都异常吃力。
1:43:23|1:43:31|[李沧东]这时也缓了力气，想要起身。爬到门前的[阿弟]抱着何细魁的脸，而她的口鼻中早已布满血迹。
1:43:31|1:43:36|她艰难地撑起身子，脑袋斜靠在门上，不由得哭泣起来。
1:43:37|1:43:43|她用那双布满污泥的手，轻轻抚摸着何细魁的脸颊，但始终得不到回应。
1:43:45|1:43:52|给予她温暖的人就这样死在了自己的面前。[阿弟]嘴唇颤抖着，眼泪掉个不停。
1:43:52|1:43:58|如果不是自己一时冲动，为了那包黄金，兴许何[细鬼]还有一丝生机。
1:43:58|1:44:3|可惜没有如果，再悔恨的泪珠也改变不了已经发生的事实。
1:44:3|1:44:7|[李沧东]终于艰难地爬起身子，望着眼前的二人。
1:44:8|1:44:13|泣不成声的[阿弟]轻轻晃动着何[细鬼]，期待对方能有点反应。
1:44:13|1:44:17|不甘心的[李沧东]撑着身子，心里也不是滋味。
1:44:17|1:44:23|最终，他手扶着墙壁，夹着文件袋，一瘸一拐地离开了这里。
1:44:24|1:44:32|蹒跚的背影似是不满命运的捉弄，袋子里那下定决心的100万，最终还是没能交给何[细鬼]。
1:44:33|1:44:36|不一会儿，警察赶到了现场。
1:44:36|1:44:43|看见倒在墙角，满脸鲜血的[马达]，可谓触目惊心。年轻的警察带路来到了门口。
1:44:56|1:45:2|黑色裹尸袋的拉链被缓缓地拉上，又一个线人为此付出了生命。
1:45:2|1:45:11|这座城市的灯火依然闪耀，色彩却渐渐归于黑白。逝者安息，而生者仍然要面对今后的生活。
1:45:11|1:45:20|这天，一辆汽车打破了夜色的宁静，驶进小巷后放缓了速度，而在此等候的人不是别人，正是[李沧东]。
1:45:20|1:45:25|他头上缠着纱布，胳膊打着石膏，另一只手拿着文件袋。
1:45:25|1:45:34|汽车停在他面前，下车的是脸上有刀疤的光头胖子。[李沧东]拿起文件袋，将其递给他。
1:45:47|1:45:54|[李沧东]拿出一叠现金。此时[李沧东]眉头紧皱。
1:45:55|1:46:1|他眼神凶狠地盯着光头。而后，受伤的[李沧东]来到一家歌舞厅。
